Age_group,Area,FamilyStatus,Education,Income,Religion,Gender,Frequency-YouTube,Frequency-Facebook,Frequency-TikTok,Frequency-Twitter,Frequency-Instagram,Frequency-LinkedIn,Frequency-WhatsApp,ID,B-YouTube,B-Facebook,B-TikTok,B-Twitter,B-Instagram,B-LinkedIn,B-WhatsApp,Age_group-num,Income-num,Frequency-Instagram-num,Frequency-Facebook-num,Frequency-Twitter-num,Frequency-YouTube-num
65+,South,Married,"Post-secondary (Technician, Engineer, etc.)",Way Above Average,Jewish - Secular,Male,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,13,0,0,0,0,0,0,1,75,14491,0,0,0,0
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Secular,Male,Several times a week,Less often,Not Using,Less often,Less often,Not Using,Not Using,14,1,1,0,1,1,0,0,57,0,2,4,1,15
65+,Tel Aviv,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,15,1,0,0,0,0,0,1,69,9119,0,0,0,29
50-64,Center,Married,Academic,Above Average,Jewish - Secular,Male,Several times a week,Less often,Less often,Not Using,Not Using,Several times a month,Daily,16,1,1,1,0,0,1,1,53,9605,0,4,0,21
65+,Center,Divorced/Separated/Widowed/Single Parent,Academic,Similar to Average,Jewish - Secular,Male,Several times a week,Daily,Several times a week,Daily,Several times a week,Less often,Daily,17,1,1,1,1,1,1,1,72,7366,22,31,29,11
40-49,Haifa,Married,Academic,Way Above Average,Jewish - Secular,Male,Several times a week,Several times a week,Not Using,Not Using,Less often,Not Using,Daily,18,1,1,0,0,1,0,1,47,11236,3,21,0,28
50-64,Haifa,Married,Secondary,Other Responses,Jewish - Secular,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,19,1,1,0,0,0,0,1,52,0,0,29,0,16
65+,Haifa,Married,Academic,Above Average,Jewish - Secular,Male,Several times a week,Several times a month,Several times a month,Several times a week,Several times a week,Not Using,Not Using,20,1,1,1,1,1,0,0,70,9970,23,10,18,12
65+,Haifa,Married,Academic,Way Above Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Daily,Daily,21,1,1,1,1,1,1,1,69,12909,30,29,31,31
50-64,Center,Married,Academic,Way Above Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Several times a week,Daily,Not Using,Daily,22,1,1,0,1,1,0,1,51,19568,29,29,16,24
50-64,Center,Other,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,23,1,1,0,0,1,0,1,57,6161,31,30,0,29
65+,North,Married,Academic,below Average,Jewish - Secular,Male,Less often,Several times a month,Not Using,Not Using,Not Using,Not Using,Daily,24,1,1,0,0,0,0,1,76,4954,0,6,0,2
65+,Center,Married,Secondary,Way below Average,Jewish - Secular,Female,Less often,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,25,1,1,0,0,0,0,0,78,2636,0,29,0,2
40-49,Tel Aviv,Married,Academic,Way below Average,Jewish - Traditional,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,26,1,0,0,0,0,0,0,45,1571,0,0,0,30
65+,North,Married,Secondary,below Average,Jewish - Traditional,Male,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,27,1,1,0,0,0,0,1,66,3513,0,29,0,10
50-64,Center,Married,Academic,Other Responses,Jewish - National Religious,Female,Several times a month,Less often,Not Using,Not Using,Less often,Less often,Daily,28,1,1,0,0,1,1,1,61,0,1,3,0,10
50-64,Center,Married,Academic,Other Responses,Jewish - National Religious,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,29,1,1,0,0,0,0,1,54,0,0,28,0,28
31-39,Tel Aviv,Married,Academic,Way Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Several times a week,Daily,Daily,30,1,1,0,0,1,1,1,31,16416,13,31,0,30
65+,Center,Divorced/Separated/Widowed/Single Parent,Academic,Way below Average,Jewish - Traditional,Male,Not Using,Not Using,Not Using,Not Using,Not Using,Less often,Daily,31,0,0,0,0,0,1,1,76,2966,0,0,0,0
65+,South,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - National Religious,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,32,1,1,0,0,0,0,1,74,1856,0,31,0,20
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Male,Daily,Daily,Not Using,Not Using,Not Using,Less often,Daily,33,1,1,0,0,0,1,1,55,1373,0,31,0,30
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,34,1,0,0,0,0,0,1,62,5873,0,0,0,9
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Way Above Average,Jewish - Secular,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,35,1,1,0,0,0,0,1,76,17414,0,22,0,13
50-64,South,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Traditional,Female,Several times a month,Daily,Not Using,Not Using,Less often,Not Using,Daily,36,1,1,0,0,1,0,1,58,1852,2,29,0,10
25-30,Tel Aviv,Single,Secondary,Similar to Average,Jewish - Secular,Male,Daily,Daily,Less often,Less often,Daily,Not Using,Daily,37,1,1,1,1,1,0,1,25,7846,30,30,3,30
50-64,Center,Divorced/Separated/Widowed/Single Parent,Academic,Other Responses,Jewish - Secular,Female,Daily,Daily,Not Using,Less often,Not Using,Several times a month,Daily,38,1,1,0,1,0,1,1,60,0,0,31,3,29
65+,South,Married,Academic,Way below Average,Jewish - Secular,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,39,1,0,0,0,0,0,0,75,1315,0,0,0,8
40-49,South,Single,Secondary,Other Responses,Jewish - Traditional,Male,Daily,Daily,Several times a week,Less often,Daily,Not Using,Daily,40,1,1,1,1,1,0,1,49,0,31,29,1,29
40-49,South,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Not Using,Several times a month,Not Using,Daily,41,1,1,1,0,1,0,1,42,5725,6,29,0,31
65+,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Secular,Male,Several times a week,Several times a week,Less often,Not Using,Several times a month,Less often,Daily,42,1,1,1,0,1,1,1,76,10053,8,11,0,22
31-39,North,Married,Academic,Above Average,Jewish - National Religious,Female,Daily,Daily,Not Using,Several times a month,Several times a month,Not Using,Daily,43,1,1,0,1,1,0,1,37,10899,10,31,9,29
50-64,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - National Religious,Male,Not Using,Daily,Not Using,Not Using,Not Using,Not Using,Daily,44,0,1,0,0,0,0,1,53,5078,0,31,0,0
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Several times a week,Not Using,Not Using,Several times a week,Not Using,Daily,45,1,1,0,0,1,0,1,58,7622,24,17,0,29
50-64,South,Married,Academic,Other Responses,Jewish - Traditional,Female,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,46,1,0,0,0,0,0,1,52,0,0,0,0,26
31-39,Center,Married,Academic,Way Above Average,Jewish - Secular,Male,Daily,Daily,Not Using,Several times a week,Several times a week,Not Using,Daily,47,1,1,0,1,1,0,1,35,15228,12,31,25,31
65+,Center,Married,Academic,Way Above Average,Jewish - Secular,Female,Several times a week,Daily,Less often,Less often,Less often,Less often,Daily,48,1,1,1,1,1,1,1,67,11601,3,29,2,23
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Way Above Average,Jewish - Secular,Male,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,49,1,1,0,0,0,0,0,71,12066,0,29,0,6
50-64,Tel Aviv,Married,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Daily,Several times a week,Several times a week,Several times a month,Daily,50,1,1,1,1,1,1,1,54,10137,15,31,26,31
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,51,1,1,0,0,0,0,1,58,7450,0,18,0,22
31-39,Tel Aviv,Single,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Daily,Daily,Daily,Daily,52,1,1,0,1,1,1,1,37,10344,29,30,30,30
65+,Jerusalem,Married,Academic,Way Above Average,Jewish - Secular,Female,Several times a week,Daily,Several times a month,Daily,Daily,Less often,Daily,53,1,1,1,1,1,1,1,66,17944,30,30,30,19
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Secular,Female,Daily,Daily,Several times a week,Not Using,Several times a month,Not Using,Daily,54,1,1,1,0,1,0,1,68,10470,9,29,0,31
65+,Haifa,Single,Academic,below Average,Jewish - Secular,Female,Daily,Daily,Daily,Several times a week,Daily,Several times a month,Daily,55,1,1,1,1,1,1,1,73,4889,29,29,21,31
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,56,1,1,0,0,0,0,1,61,4047,0,31,0,6
50-64,Center,Divorced/Separated/Widowed/Single Parent,Academic,Other Responses,Jewish - Secular,Female,Daily,Daily,Not Using,Several times a week,Several times a week,Not Using,Daily,57,1,1,0,1,1,0,1,63,0,25,29,13,30
31-39,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Not Using,Not Using,58,1,1,1,1,1,0,0,32,5575,30,31,30,29
65+,North,Divorced/Separated/Widowed/Single Parent,Academic,below Average,Jewish - Secular,Female,Not Using,Daily,Not Using,Not Using,Not Using,Not Using,Daily,59,0,1,0,0,0,0,1,74,3143,0,30,0,0
50-64,North,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a week,Not Using,Not Using,Daily,Not Using,Not Using,Daily,60,1,0,0,1,0,0,1,58,5993,0,0,30,22
65+,North,Married,Academic,below Average,Jewish - Traditional,Female,Less often,Daily,Not Using,Not Using,Not Using,Not Using,Daily,61,1,1,0,0,0,0,1,74,3665,0,30,0,3
31-39,South,Married,Academic,Above Average,Jewish - Traditional,Male,Daily,Several times a month,Not Using,Not Using,Not Using,Less often,Daily,62,1,1,0,0,0,1,1,35,10193,0,7,0,29
31-39,North,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - National Religious,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,63,1,1,0,0,0,0,1,32,6249,0,29,0,28
50-64,Tel Aviv,Married,Secondary,Above Average,Jewish - Secular,Male,Daily,Several times a week,Not Using,Not Using,Daily,Not Using,Daily,64,1,1,0,0,1,0,1,53,8503,31,20,0,31
50-64,Jerusalem,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Male,Several times a month,Less often,Not Using,Several times a month,Not Using,Not Using,Not Using,65,1,1,0,1,0,0,0,61,1998,0,1,6,10
31-39,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Several times a month,Several times a week,Daily,Less often,Several times a week,Several times a month,Daily,66,1,1,1,1,1,1,1,37,5821,12,24,4,10
40-49,Tel Aviv,Divorced/Separated/Widowed/Single Parent,Academic,Other Responses,otherwise or refuses to answer,Female,Less often,Less often,Not Using,Not Using,Several times a week,Not Using,Daily,67,1,1,0,0,1,0,1,47,0,17,3,0,2
31-39,Center,Married,Academic,Above Average,Jewish - Traditional,Male,Daily,Daily,Daily,Several times a week,Daily,Daily,Daily,68,1,1,1,1,1,1,1,33,10152,30,31,26,30
31-39,Center,Single,Academic,below Average,Jewish - Secular,Male,Daily,Daily,Less often,Daily,Daily,Not Using,Daily,69,1,1,1,1,1,0,1,31,4971,29,31,30,30
50-64,Tel Aviv,Married,Secondary,below Average,Jewish - Secular,Female,Several times a week,Daily,Several times a month,Not Using,Not Using,Not Using,Daily,70,1,1,1,0,0,0,1,53,4063,0,30,0,14
65+,Haifa,Married,Secondary,below Average,Jewish - Traditional,Female,Daily,Less often,Not Using,Not Using,Not Using,Not Using,Daily,71,1,1,0,0,0,0,1,66,4971,0,1,0,31
31-39,North,Married,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Less often,Several times a week,Daily,Daily,Daily,72,1,1,1,1,1,1,1,38,8198,31,29,19,29
25-30,Haifa,Single,Academic,Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Less often,Not Using,Daily,Not Using,Daily,73,1,1,1,0,1,0,1,28,6670,29,29,0,12
50-64,North,Married,Academic,Similar to Average,Jewish - Orthodox,Female,Daily,Daily,Not Using,Daily,Not Using,Not Using,Daily,74,1,1,0,1,0,0,1,51,7627,0,30,31,29
31-39,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Male,Daily,Not Using,Several times a month,Not Using,Not Using,Not Using,Not Using,75,1,0,1,0,0,0,0,36,2439,0,0,0,31
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Several times a month,Daily,Several times a week,Several times a month,Several times a week,Several times a week,Daily,76,1,1,1,1,1,1,1,70,6203,12,30,10,7
65+,South,Married,Academic,Way below Average,Jewish - Traditional,Female,Not Using,Daily,Not Using,Not Using,Daily,Not Using,Daily,77,0,1,0,0,1,0,1,74,2602,31,30,0,0
40-49,Jerusalem,Married,Secondary,Similar to Average,Jewish - Secular,Female,Less often,Daily,Not Using,Not Using,Daily,Less often,Daily,78,1,1,0,0,1,1,1,43,6472,29,30,0,1
50-64,Center,Married,Secondary,Above Average,Jewish - Secular,Female,Less often,Daily,Not Using,Not Using,Not Using,Not Using,Daily,79,1,1,0,0,0,0,1,55,9647,0,30,0,4
31-39,Center,Married,Academic,Above Average,Jewish - Secular,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,80,1,1,0,0,0,0,1,32,9693,0,29,0,12
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Not Using,Several times a week,81,1,1,0,0,0,0,1,59,4313,0,24,0,12
50-64,Tel Aviv,Married,Academic,Above Average,Jewish - Traditional,Female,Less often,Daily,Not Using,Not Using,Daily,Not Using,Daily,82,1,1,0,0,1,0,1,61,10036,29,30,0,3
50-64,Haifa,Married,Academic,below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,83,1,1,0,0,1,0,1,51,3478,31,29,0,29
31-39,South,Married,Secondary,below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,84,1,1,0,0,1,0,1,34,4255,29,30,0,30
50-64,Haifa,Married,Academic,Above Average,Jewish - Traditional,Male,Several times a week,Daily,Less often,Less often,Less often,Less often,Less often,85,1,1,1,1,1,1,1,63,8923,4,29,1,18
65+,Tel Aviv,Divorced/Separated/Widowed/Single Parent,Academic,below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,86,1,1,0,0,0,0,1,79,3420,0,29,0,30
31-39,Center,Married,Academic,Above Average,Jewish - Traditional,Female,Daily,Daily,Less often,Less often,Daily,Not Using,Daily,87,1,1,1,1,1,0,1,38,10205,29,31,2,31
65+,Haifa,Married,Secondary,Way below Average,Jewish - Traditional,Female,Several times a week,Daily,Less often,Several times a week,Daily,Not Using,Not Using,88,1,1,1,1,1,0,0,78,2598,31,31,25,11
31-39,North,Single,Secondary,Similar to Average,Jewish - National Religious,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,89,1,1,0,0,0,0,1,37,6121,0,31,0,31
65+,Jerusalem,Married,Secondary,Way below Average,Jewish - Orthodox,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,90,1,1,0,0,0,0,1,76,951,0,31,0,17
50-64,Yehoda and Shomron,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,91,1,1,0,0,0,0,1,58,3289,0,30,0,27
31-39,Haifa,Married,Academic,Above Average,Jewish - Orthodox,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,92,1,1,0,0,0,0,1,38,9278,0,31,0,28
40-49,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - National Religious,Male,Daily,Daily,Daily,Not Using,Several times a week,Not Using,Daily,93,1,1,1,0,1,0,1,44,7244,25,29,0,30
50-64,Center,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Traditional,Female,Several times a month,Daily,Not Using,Not Using,Less often,Not Using,Daily,94,1,1,0,0,1,0,1,62,0,3,30,0,9
40-49,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,95,1,1,0,0,1,0,1,41,7646,31,31,0,30
31-39,Center,Single,Academic,Similar to Average,Jewish - Traditional,Male,Several times a week,Daily,Several times a week,Several times a week,Several times a week,Less often,Daily,96,1,1,1,1,1,1,1,35,6858,20,29,13,22
50-64,Haifa,Married,Academic,Above Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,97,1,1,0,0,0,0,1,57,8517,0,30,0,19
40-49,North,Single,Academic,below Average,Jewish - Secular,Male,Daily,Daily,Several times a week,Not Using,Not Using,Not Using,Daily,98,1,1,1,0,0,0,1,49,4659,0,30,0,29
65+,Jerusalem,Married,Academic,Way below Average,Jewish - Orthodox,Male,Several times a week,Daily,Less often,Not Using,Not Using,Not Using,Daily,99,1,1,1,0,0,0,1,73,1866,0,31,0,20
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Orthodox,Female,Several times a month,Daily,Daily,Several times a month,Daily,Less often,Less often,100,1,1,1,1,1,1,1,76,10913,31,30,7,8
50-64,South,Married,Academic,Similar to Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Less often,Daily,101,1,1,0,0,0,1,1,61,6142,0,29,0,15
25-30,Center,Single,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Traditional,Male,Daily,Daily,Several times a week,Less often,Daily,Several times a week,Daily,102,1,1,1,1,1,1,1,28,2854,30,30,2,30
40-49,North,Married,Academic,Above Average,Jewish - National Religious,Female,Daily,Several times a week,Not Using,Not Using,Several times a month,Not Using,Daily,103,1,1,0,0,1,0,1,48,9933,10,18,0,31
40-49,North,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,104,1,1,0,0,0,0,1,40,5815,0,31,0,21
31-39,Haifa,Married,Academic,Above Average,Jewish - Traditional,Male,Several times a week,Daily,Several times a month,Not Using,Daily,Not Using,Daily,105,1,1,1,0,1,0,1,39,10276,30,29,0,20
50-64,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,106,1,1,0,0,0,0,0,56,9901,0,30,0,30
65+,North,Divorced/Separated/Widowed/Single Parent,Academic,below Average,Jewish - Secular,Female,Several times a month,Less often,Less often,Not Using,Less often,Less often,Daily,107,1,1,1,0,1,1,1,73,3216,1,2,0,7
65+,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Secular,Male,Several times a week,Less often,Less often,Less often,Less often,Less often,Daily,108,1,1,1,1,1,1,1,72,0,2,2,4,15
65+,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Several times a week,Several times a week,Several times a month,Not Using,Not Using,Not Using,Daily,109,1,1,1,0,0,0,1,65,7996,0,14,0,13
50-64,North,Single,Academic,Way below Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,110,1,1,0,0,0,0,1,61,2063,0,29,0,22
40-49,North,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,111,1,1,0,0,1,0,1,47,10095,22,29,0,29
65+,Tel Aviv,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Daily,Not Using,Several times a month,Several times a month,Not Using,Daily,112,1,1,0,1,1,0,1,72,7372,10,29,6,29
65+,North,Divorced/Separated/Widowed/Single Parent,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,113,1,1,1,1,1,0,1,79,7892,29,31,29,30
65+,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,114,1,0,0,0,0,0,1,75,5130,0,0,0,8
31-39,Yehoda and Shomron,Married,Academic,below Average,Jewish - National Religious,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,115,1,1,0,0,0,0,1,33,4435,0,31,0,29
65+,Center,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,116,1,0,0,0,0,0,0,65,8095,0,0,0,30
40-49,North,Married,Academic,Similar to Average,Jewish - National Religious,Male,Daily,Daily,Not Using,Less often,Not Using,Several times a week,Daily,117,1,1,0,1,0,1,1,47,7675,0,29,4,31
65+,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Daily,Daily,Less often,Daily,Less often,Daily,118,1,1,1,1,1,1,1,67,7803,29,30,3,31
31-39,Center,Married,Academic,Other Responses,Jewish - Secular,Female,Several times a week,Daily,Less often,Several times a week,Daily,Not Using,Daily,119,1,1,1,1,1,0,1,33,0,29,31,17,12
25-30,Haifa,Single,Academic,Way below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Not Using,120,1,1,0,0,1,0,0,25,1956,31,29,0,31
25-30,Haifa,Single,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Several times a week,Daily,121,1,1,1,1,1,1,1,27,5794,29,30,31,29
65+,Center,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,122,1,1,0,0,0,0,1,69,6835,0,31,0,29
40-49,Jerusalem,Married,Academic,Above Average,Jewish - Orthodox,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,123,1,0,0,0,0,0,1,49,10117,0,0,0,29
50-64,Center,Married,Academic,Way Above Average,Jewish - Traditional,Female,Several times a month,Daily,Not Using,Several times a month,Less often,Not Using,Daily,124,1,1,0,1,1,0,1,56,16780,1,30,5,5
65+,Center,Married,Academic,Above Average,Jewish - Traditional,Female,Daily,Daily,Less often,Less often,Less often,Not Using,Not Using,125,1,1,1,1,1,0,0,74,8011,4,30,4,31
65+,South,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Not Using,Daily,Not Using,Not Using,Not Using,Daily,126,1,0,1,0,0,0,1,73,9866,0,0,0,29
40-49,Center,Married,Academic,Above Average,Jewish - National Religious,Female,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,127,1,1,0,0,0,0,1,46,10920,0,30,0,10
40-49,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Several times a week,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,128,1,1,0,0,1,0,1,48,7598,21,30,0,13
31-39,Center,Married,Academic,Above Average,Jewish - Orthodox,Male,Daily,Less often,Daily,Daily,Several times a month,Not Using,Daily,129,1,1,1,1,1,0,1,38,8712,9,3,29,31
40-49,North,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Daily,Daily,Not Using,Daily,Not Using,Daily,130,1,1,1,0,1,0,1,41,7071,31,31,0,29
